generation,rank_1,rank_2,swapAccepted
354000,1,4,0
355000,1,2,0
356000,1,3,1
357000,2,3,1
358000,1,3,1
359000,2,4,0
360000,1,4,0
361000,2,4,0
362000,1,4,0
363000,1,4,0
364000,1,2,1
365000,2,3,1
366000,2,4,0
367000,1,2,0
368000,2,3,1
369000,2,4,0
370000,1,2,1
371000,1,3,1
372000,1,3,1
373000,2,3,1
374000,2,4,0
375000,2,3,1
376000,2,3,0
377000,1,3,0
378000,2,3,1
379000,1,2,1
380000,2,4,0
381000,1,3,1
382000,1,2,1
383000,1,2,1
384000,1,4,0
385000,2,3,1
386000,3,4,1
387000,2,4,1
388000,1,4,1
389000,3,4,1
390000,1,4,0
391000,2,3,1
392000,3,4,0
393000,1,4,0
394000,1,2,1
395000,2,3,1
396000,1,3,0
397000,2,3,1
398000,2,4,0
399000,1,2,1
400000,3,4,0
401000,1,3,1
402000,1,2,1
403000,2,4,0
404000,1,4,0
405000,1,4,0
406000,1,3,0
407000,1,3,0
408000,1,2,0
409000,2,4,0
410000,2,4,0
411000,2,4,0
412000,1,3,1
413000,1,2,1
414000,1,2,1
415000,1,2,1
416000,1,3,1
417000,1,2,0
418000,1,3,0
419000,3,4,0
420000,2,4,0
421000,2,4,1
422000,1,3,1
423000,1,3,1
424000,2,3,1
425000,2,4,0
426000,1,4,1
427000,1,2,1
428000,1,2,1
429000,1,3,0
430000,2,4,1
431000,2,4,1
432000,1,3,0
433000,1,3,1
434000,1,3,1
435000,1,3,1
436000,1,4,1
437000,2,3,1
438000,2,3,1
439000,1,2,0
440000,2,4,0
441000,2,3,1
442000,1,3,0
443000,1,4,0
444000,1,2,0
445000,1,3,0
446000,1,4,0
447000,3,4,0
448000,1,3,0
449000,1,4,0
450000,3,4,0
451000,2,3,1
452000,2,4,0
453000,2,3,1
454000,1,4,0
455000,1,3,0
456000,1,2,1
457000,2,4,0
458000,1,4,0
459000,2,4,0
460000,2,3,0
461000,1,3,1
462000,3,4,1
463000,3,4,1
464000,1,2,1
465000,1,3,0
466000,1,4,0
467000,2,4,0
468000,1,3,0
469000,3,4,1
470000,3,4,1
471000,2,4,0
472000,3,4,0
473000,2,3,0
474000,2,4,0
475000,2,4,0
476000,1,3,1
477000,2,4,0
478000,1,2,1
479000,2,4,0
480000,2,3,1
481000,2,4,0
482000,1,4,0
483000,1,4,0
484000,1,2,1
485000,3,4,0
486000,1,3,0
487000,3,4,0
488000,1,2,1
489000,1,4,0
490000,1,2,1
491000,1,2,0
492000,2,3,1
493000,1,4,0
494000,1,3,1
495000,2,3,1
496000,2,3,0
497000,1,2,1
498000,1,3,0
499000,2,4,0
500000,1,3,0
501000,1,4,0
502000,2,4,0
503000,3,4,1
504000,1,3,0
505000,3,4,1
506000,2,3,1
507000,1,2,0
508000,1,4,0
509000,2,4,0
510000,2,4,0
511000,2,4,0
512000,1,4,0
513000,1,3,1
514000,3,4,0
515000,1,3,1
516000,1,4,0
517000,2,4,0
518000,1,4,0
519000,1,2,1
520000,2,3,0
521000,2,4,0
522000,3,4,0
523000,2,3,1
524000,1,3,1
525000,3,4,1
526000,3,4,1
527000,2,3,1
528000,1,2,0
529000,1,4,0
530000,1,2,1
531000,1,3,1
532000,2,4,0
533000,1,2,1
534000,1,2,0
535000,3,4,0
536000,1,3,0
537000,1,3,0
538000,3,4,0
539000,1,2,1
540000,3,4,0
541000,1,3,1
542000,1,2,1
543000,1,4,0
544000,2,3,1
545000,1,2,0
546000,1,3,0
547000,2,4,0
548000,1,4,0
549000,1,2,0
550000,1,2,0
551000,2,4,0
552000,1,3,0
553000,3,4,0
554000,1,4,0
555000,1,3,0
556000,1,3,1
557000,3,4,1
558000,3,4,1
559000,2,3,1
560000,1,2,1
561000,1,3,1
562000,2,4,0
563000,2,3,1
564000,1,4,0
565000,2,4,0
566000,2,4,0
567000,2,3,0
568000,3,4,0
569000,2,4,0
570000,2,4,0
571000,1,3,0
572000,1,3,0
573000,3,4,0
574000,1,3,0
575000,2,4,0
576000,2,4,0
577000,1,2,1
578000,2,4,0
579000,1,3,0
580000,1,2,1
581000,1,4,0
582000,2,3,0
583000,1,2,1
584000,3,4,0
585000,1,3,0
586000,1,3,1
587000,1,2,1
588000,1,4,0
589000,1,2,1
590000,1,3,1
591000,2,4,0
592000,3,4,0
593000,3,4,1
594000,2,4,0
595000,2,3,0
596000,2,4,0
597000,2,3,1
598000,2,3,1
599000,3,4,1
600000,1,2,1
601000,1,2,1
602000,2,4,0
603000,2,4,0
604000,1,4,0
605000,1,2,1
606000,3,4,0
607000,3,4,1
608000,3,4,1
609000,1,4,0
610000,1,4,0
611000,3,4,0
612000,1,3,0
613000,1,4,0
614000,2,3,0
615000,3,4,0
616000,1,2,1
617000,2,3,0
618000,1,2,0
619000,1,3,0
620000,2,3,0
621000,2,4,0
622000,1,3,0
623000,3,4,0
624000,1,3,0
625000,3,4,0
626000,2,3,1
627000,1,3,0
628000,1,2,0
629000,2,4,0
630000,1,2,1
631000,2,3,1
632000,1,2,1
633000,2,3,1
634000,2,4,0
635000,1,3,1
636000,1,3,1
637000,1,2,1
638000,3,4,0
639000,1,3,0
640000,1,3,1
641000,3,4,0
642000,1,2,1
643000,1,4,0
644000,2,4,0
645000,1,3,1
646000,1,2,0
647000,3,4,0
648000,2,3,1
649000,3,4,0
650000,1,2,1
651000,2,4,0
652000,1,3,0
653000,1,4,0
654000,2,4,0
655000,2,3,0
656000,1,4,0
657000,1,2,1
658000,1,3,0
659000,2,4,0
660000,1,4,0
661000,3,4,0
662000,1,3,0
663000,2,3,1
664000,2,4,0
665000,2,3,1
666000,2,3,0
667000,1,4,0
668000,1,3,0
669000,2,4,0
670000,3,4,1
671000,1,3,0
672000,1,3,0
673000,1,3,0
674000,2,3,0
675000,3,4,1
676000,2,4,0
677000,2,4,0
678000,1,4,0
679000,2,3,0
680000,1,3,0
681000,1,3,1
682000,2,4,0
683000,3,4,1
684000,1,4,1
685000,1,3,0
686000,1,2,0
687000,3,4,1
688000,1,3,1
689000,1,4,0
690000,1,2,1
691000,1,2,1
692000,1,4,0
693000,3,4,0
694000,2,3,1
695000,1,2,1
696000,2,3,1
697000,1,2,1
698000,3,4,0
699000,1,3,0
700000,1,4,0
701000,3,4,1
702000,1,2,0
703000,1,4,0
704000,1,4,0
705000,3,4,1
706000,2,3,1
707000,3,4,0
708000,1,4,0
709000,3,4,0
710000,2,3,1
711000,3,4,0
712000,1,2,1
713000,1,4,0
714000,1,3,1
715000,1,2,1
716000,1,3,0
717000,1,2,1
718000,3,4,0
719000,2,4,0
720000,2,4,0
721000,3,4,1
722000,1,3,0
723000,3,4,1
724000,2,4,0
725000,1,2,1
726000,1,2,1
727000,1,2,1
728000,1,3,1
729000,1,3,1
730000,1,3,1
731000,2,3,1
732000,1,2,1
733000,1,4,0
734000,2,4,0
735000,2,3,1
736000,2,3,0
737000,3,4,0
738000,1,4,0
739000,1,2,1
740000,1,2,1
741000,1,3,1
742000,2,3,1
743000,1,2,1
744000,1,3,1
745000,3,4,0
746000,1,4,0
747000,1,4,0
748000,1,2,1
749000,1,3,1
750000,2,3,1
751000,2,4,0
752000,3,4,0
753000,1,3,1
754000,1,3,1
755000,2,4,0
756000,3,4,0
757000,1,4,0
758000,1,3,0
759000,2,3,0
760000,2,4,0
761000,3,4,0
762000,3,4,0
763000,1,4,0
764000,1,3,0
765000,1,3,1
766000,1,4,0
767000,2,4,0
768000,2,4,0
769000,3,4,0
770000,2,3,1
771000,1,3,1
772000,3,4,0
773000,1,2,1
774000,1,2,1
775000,3,4,0
776000,3,4,0
777000,1,4,0
778000,1,4,0
779000,1,4,0
780000,3,4,0
781000,2,4,0
782000,2,3,1
783000,1,4,0
784000,1,2,1
785000,1,2,1
786000,1,2,1
787000,2,4,0
788000,2,4,0
789000,1,3,1
790000,1,2,0
791000,3,4,0
792000,1,4,0
793000,1,4,0
794000,2,4,0
795000,3,4,0
796000,1,4,0
797000,1,3,0
798000,3,4,0
799000,2,3,0
800000,3,4,0
801000,1,2,1
802000,1,2,1
803000,2,4,0
804000,1,4,0
805000,1,2,1
806000,1,2,1
807000,2,3,0
808000,1,3,0
809000,1,3,0
810000,3,4,0
811000,2,3,1
812000,3,4,0
813000,3,4,0
814000,3,4,0
815000,1,3,0
816000,1,3,0
817000,1,3,1
818000,1,2,1
819000,1,2,1
820000,1,2,1
821000,1,3,1
822000,1,3,0
823000,1,4,0
824000,1,2,1
825000,1,3,0
826000,1,3,1
827000,1,4,0
828000,1,3,1
829000,2,3,1
830000,3,4,0
831000,1,4,0
832000,2,3,1
833000,1,2,1
834000,1,4,0
835000,2,4,0
836000,1,2,0
837000,1,3,0
838000,3,4,0
839000,1,4,0
840000,2,3,0
841000,3,4,0
842000,1,3,0
843000,3,4,0
844000,3,4,0
845000,2,4,0
846000,2,3,1
847000,1,4,0
848000,2,3,1
849000,1,2,1
850000,3,4,0
851000,1,4,0
852000,2,4,0
853000,1,3,1
854000,1,2,1
855000,3,4,0
856000,2,4,0
857000,3,4,0
858000,3,4,0
859000,1,3,1
860000,1,2,1
861000,2,3,1
862000,2,4,0
863000,2,3,0
864000,1,4,0
865000,2,3,1
866000,1,3,1
867000,1,4,0
868000,1,3,1
869000,1,4,0
870000,3,4,0
871000,2,4,0
872000,1,2,1
873000,1,2,0
874000,2,4,0
875000,1,2,0
876000,1,3,0
877000,1,3,0
878000,2,4,0
879000,1,4,0
880000,1,3,1
881000,2,4,0
882000,1,3,1
883000,2,4,0
884000,2,4,0
885000,1,3,1
886000,2,3,1
887000,3,4,0
888000,1,3,0
889000,1,4,0
890000,3,4,0
891000,2,4,0
892000,1,4,0
893000,2,3,1
894000,1,2,1
895000,3,4,0
896000,1,4,0
897000,3,4,0
898000,2,4,0
899000,1,3,1
900000,1,3,0
901000,2,4,0
902000,2,3,0
903000,1,3,1
904000,1,2,1
905000,3,4,0
906000,1,4,0
907000,1,2,1
908000,1,2,1
909000,2,3,1
910000,1,3,1
911000,2,3,1
912000,1,3,1
913000,2,3,0
914000,2,4,0
915000,2,3,1
916000,1,4,0
917000,1,3,1
918000,1,3,1
919000,2,4,0
920000,2,4,0
921000,1,4,0
922000,1,3,1
923000,1,2,1
924000,1,2,1
925000,2,3,1
926000,2,4,0
927000,2,3,1
928000,2,3,1
929000,3,4,0
930000,2,4,0
931000,3,4,0
932000,2,3,1
933000,1,2,1
934000,1,4,0
935000,1,3,1
936000,1,2,0
937000,2,3,1
938000,2,4,0
939000,1,2,1
940000,1,4,0
941000,1,3,1
942000,1,4,0
943000,1,4,0
944000,1,4,0
945000,1,3,1
946000,1,4,0
947000,2,3,1
948000,1,4,0
949000,1,4,0
950000,1,4,0
951000,1,2,0
952000,1,2,1
953000,3,4,0
954000,2,3,0
955000,2,4,0
956000,2,4,0
957000,1,4,0
958000,2,4,0
959000,1,4,0
960000,1,2,1
961000,1,4,0
962000,3,4,0
963000,2,4,0
964000,2,4,0
965000,1,4,0
966000,2,4,0
967000,1,2,0
968000,3,4,0
969000,1,4,0
970000,2,4,0
971000,1,4,0
972000,1,3,1
