generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1.72579,-411123,10,0
1000,5,-185.047,-30120,6.8401,0.188
2000,1,-26.9878,-6879.9,0.223369,0.238
3000,4,-80.9933,-4885.62,4.0358,0.309
4000,9,-91.49,-4785.91,10.7087,0.254436
5000,15,-93.9192,-4794.79,15.5342,0.381
6000,17,-96.5766,-4792.03,15.0124,0.379
7000,8,-79.813,-4837.24,15.9573,0.38925
8000,12,-72.1141,-4848.9,12.0887,0.372
9000,12,-70.326,-4853.68,9.19663,0.383
10000,14,-130.885,-4623.28,12.73,0.219978
11000,13,-66.0838,-4790.79,12.0012,0.3802
12000,21,-57.7536,-4755.16,14.1123,0.377
13000,12,-72.8219,-4846.6,3.88637,0.386
14000,23,-63.5094,-4755.73,21.1667,0.3925
15000,22,-63.7064,-4771.22,20.5994,0.364
16000,20,-62.8058,-4751.5,20.9203,0.376
17000,25,-63.9714,-4744.73,21.5735,0.366
18000,27,-59.13,-4744.23,18.4809,0.378
19000,20,-156.507,-4607.59,21.533,0.334667
20000,21,-158.062,-4612.24,25.1434,0.335
21000,17,-155.757,-4583.69,10.1491,0.322
22000,23,-75.7418,-4716.23,27.1875,0.37675
23000,23,-67.648,-4718.02,19.6417,0.398
24000,26,-61.4405,-4734.4,23.0724,0.362
25000,29,-63.8917,-4734.81,36.2484,0.366
26000,33,-57.2275,-4732.47,31.4879,0.371
27000,29,-119.653,-4577.71,27.2931,0.311
28000,34,-121.921,-4568.41,31.6371,0.33
29000,34,-110.171,-4572.75,30.2801,0.319
30000,37,-107.309,-4578.9,33.662,0.331
31000,41,-107.355,-4578.49,43.7961,0.325
32000,48,-104.602,-4580.04,38.79,0.303
33000,50,-84.7668,-4572.68,58.7229,0.308
34000,54,-88.1524,-4592.21,59.0154,0.323
35000,51,-98.9158,-4593.63,43.4668,0.337
36000,45,-105.054,-4592.2,53.6853,0.286
37000,43,-110.863,-4583.18,40.2809,0.304
38000,39,-112.806,-4557.95,29.2344,0.338
39000,39,-105.794,-4598.31,50.154,0.304
40000,40,-101.533,-4606.91,38.0847,0.307
41000,42,-96.7669,-4592.22,38.0847,0.284
42000,40,-94.0045,-4579.18,28.7402,0.304
43000,43,-102.016,-4582.43,36.1795,0.298
44000,27,-77.5158,-4755.58,27.8395,0.381742
45000,38,-65.2285,-4651.82,32.6431,0.374526
46000,43,-53.7723,-4657.53,40.2007,0.367
47000,39,-55.9107,-4650.33,46.1675,0.391
48000,40,-52.4894,-4640.03,32.5164,0.359
49000,43,-54.2568,-4647.96,38.633,0.352
50000,40,-56.0041,-4677.88,46.7565,0.397
51000,39,-132.978,-4594.19,39.0771,0.326375
52000,47,-54.1426,-4652.58,41.9003,0.356
53000,36,-63.0922,-4643.01,37.7409,0.381
54000,37,-52.0165,-4647.62,32.7407,0.362
55000,36,-57.3594,-4652.32,31.8338,0.35
56000,39,-66.9443,-4644.62,31.0282,0.361
57000,41,-68.8245,-4661.58,37.1555,0.369
58000,42,-68.0793,-4666.31,43.2965,0.362
59000,30,-125.341,-4592.43,22.0613,0.319625
60000,27,-126.754,-4594.99,26.7648,0.349
61000,30,-133.902,-4588.61,33.7673,0.333
62000,29,-133.622,-4612.43,33.9245,0.325
63000,26,-134.013,-4589.23,26.8331,0.345
64000,41,-59.6586,-4676.47,27.9062,0.366
65000,39,-60.7284,-4668.33,47.3735,0.358
66000,43,-49.9827,-4678.54,31.6186,0.339
67000,43,-48.1438,-4684.11,45.668,0.38
68000,49,-45.2032,-4665.11,47.3553,0.368
69000,49,-40.3143,-4650.39,50.305,0.353
70000,44,-46.8328,-4634.11,42.7648,0.358
71000,22,-144.389,-4594.31,21.0988,0.32725
72000,27,-136.178,-4577.37,30.9024,0.314
73000,29,-137.28,-4567.28,33.024,0.32
74000,39,-134.297,-4559.03,26.9347,0.332
75000,35,-142.812,-4543.52,36.4851,0.319
76000,38,-136.804,-4541.75,39.0073,0.337
