generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1.72579,-109356,10,0
1000,2,-49.9855,-4424.44,1.2111,0.245
2000,6,-45.9019,-4398.3,5.56458,0.329
3000,8,-45.6695,-4378.72,8.69551,0.306
4000,3,-39.7748,-4362.23,3.76962,0.302174
5000,7,-33.0598,-4363.5,8.88235,0.301
6000,7,-37.8133,-4370.36,5.4087,0.326
7000,8,-40.4543,-4366.59,7.57363,0.327
8000,8,-44.1492,-4360.59,8.77772,0.302
9000,11,-35.5421,-4314.64,11.8116,0.277969
10000,10,-36.3933,-4315.1,6.7039,0.311
11000,2,-40.2759,-4393.95,5.82999,0.317667
12000,8,-32.3422,-4336.66,6.23171,0.299808
13000,15,-22.2561,-4335.35,12.6828,0.307
14000,19,-25.3843,-4317.61,9.95786,0.3125
15000,8,-33.4804,-4401.69,7.55552,0.32775
16000,3,-37.9423,-4375.82,2.11003,0.3212
17000,9,-41.3249,-4354.35,9.42066,0.34
18000,2,-41.3188,-4380.83,1.45134,0.333
19000,4,-42.7437,-4371.76,5.39489,0.324
20000,4,-39.6669,-4343.19,3.98612,0.337
21000,11,-37.6993,-4330.89,10.0376,0.332143
22000,8,-35.2404,-4341.24,7.88656,0.319
23000,7,-30.7737,-4385.37,3.7856,0.3335
24000,6,-35.1405,-4385.62,4.12332,0.31
25000,9,-27.9558,-4386.4,4.95173,0.351
26000,13,-26.5976,-4392.52,9.83455,0.318
27000,11,-28.9371,-4401.9,7.41644,0.329
28000,23,-15.7553,-4333.37,19.6833,0.318533
29000,25,-16.1739,-4331.35,22.9345,0.305
30000,14,-29.59,-4330.44,9.81036,0.31675
31000,15,-29.4715,-4318.36,12.0204,0.324
32000,18,-31.1785,-4368.11,18.3305,0.324333
33000,25,-24.3062,-4327.83,25.481,0.3105
34000,30,-11.869,-4346.63,34.6441,0.344
35000,27,-21.3855,-4343.7,21.8738,0.32
36000,27,-10.3538,-4341.92,27.8301,0.337
37000,26,-14.3754,-4321.87,28.9488,0.306
38000,22,-19.0649,-4320.89,20.5024,0.334
39000,14,-30.7027,-4363.24,22.3917,0.329167
40000,34,-7.58222,-4255.15,33.3701,0.315333
41000,32,-13.2829,-4259.38,33.5779,0.328
42000,40,-19.822,-4265.72,48.5193,0.321
43000,40,-20.304,-4266.35,42.1553,0.304
44000,47,-22.3157,-4275.58,42.1553,0.338
45000,45,-19.9644,-4253.17,40.5524,0.308
46000,49,-27.8223,-4264.94,45.8127,0.322
47000,35,-18.4686,-4310.98,25.7101,0.329333
48000,32,-13.7087,-4331.85,28.2876,0.301
49000,27,-36.301,-4323.45,26.1225,0.331353
50000,41,-23.7327,-4318.43,42.5658,0.30525
51000,38,-36.9804,-4338.99,39.7504,0.302
52000,16,-42.1381,-4379.63,8.56468,0.327462
53000,26,-23.2801,-4329.38,19.2468,0.3122
54000,28,-26.2893,-4308.07,30.3792,0.318
55000,47,-28.3473,-4280.46,54.8841,0.326
56000,46,-28.9388,-4261.66,41.8038,0.304
57000,57,-16.2455,-4256.94,78.4904,0.338
58000,58,-13.1558,-4281.79,50.0214,0.301
59000,53,-21.5212,-4281.29,74.3966,0.326
60000,63,-12.8343,-4299.89,52.5077,0.308
61000,65,-19.3579,-4295.75,54.6552,0.35
62000,43,-20.6775,-4338.92,39.1313,0.325125
63000,36,-22.139,-4342.55,37.7632,0.315
64000,38,-18.5362,-4349.53,41.1634,0.349
65000,41,-21.3084,-4320.96,25.6053,0.329
66000,42,-20.5644,-4326.8,34.9651,0.314
67000,39,-24.7175,-4305.54,35.1123,0.323
68000,36,-20.5101,-4319.3,21.4353,0.318
69000,29,-17.5361,-4378.62,26.9596,0.331176
70000,35,-24.6169,-4335.74,36.4839,0.312
71000,34,-27.928,-4329.25,24.5218,0.313
72000,26,-29.6873,-4382.94,22.0996,0.319
73000,13,-36.3997,-4355.2,11.1778,0.325583
74000,15,-29.4721,-4336.78,15.7866,0.308
75000,18,-31.532,-4316.32,18.9439,0.307
76000,23,-27.1038,-4313.87,16.4172,0.336
77000,24,-27.166,-4314.78,24.0607,0.335
78000,26,-28.9866,-4315.64,29.5625,0.316
79000,27,-26.2073,-4327.9,30.9735,0.318
80000,29,-28.8861,-4332.94,29.986,0.326
81000,28,-31.8125,-4351.68,23.9742,0.306
82000,21,-31.2157,-4351.95,21.3329,0.3289
83000,20,-30.3213,-4354.96,22.6235,0.328
84000,49,-32.4414,-4272.34,41.0308,0.318783
85000,52,-35.605,-4278.23,58.4458,0.312
86000,61,-35.5064,-4273.76,64.1689,0.322
87000,62,-33.0258,-4271.72,60.5026,0.308
88000,59,-34.224,-4257.48,43.7041,0.322
89000,62,-31.5889,-4237.97,54.3395,0.323
90000,61,-29.1444,-4235.99,53.9711,0.352
91000,63,-38.2479,-4229.64,53.9711,0.3
92000,56,-24.4368,-4253.42,44.9178,0.315
93000,43,-29.549,-4301.1,37.2817,0.327636
94000,65,-17.7267,-4241.2,57.4594,0.3075
95000,64,-24.3687,-4240.61,53.0683,0.313
96000,70,-15.3368,-4249.8,61.4274,0.339
97000,71,-21.3877,-4234.19,66.9905,0.319
98000,35,-27.7881,-4353.77,28.8434,0.330824
99000,32,-23.6994,-4332.42,23.3218,0.325
100000,32,-17.0726,-4330.8,33.9602,0.332
101000,43,-18.712,-4308.22,40.8111,0.32525
102000,48,-9.46536,-4294,36.4679,0.307
103000,55,-20.4383,-4254.38,47.0946,0.31
104000,62,-13.3563,-4265.77,61.783,0.314
105000,69,-8.4432,-4278.18,61.783,0.293
106000,69,-5.95019,-4279.56,56.4958,0.304
107000,64,-12.0236,-4275.74,59.476,0.345
108000,70,-20.2805,-4286.71,54.6931,0.32
109000,66,-16.9765,-4293.94,63.7089,0.334
110000,72,-2.1921,-4287.47,63.6874,0.337
111000,70,1.82083,-4268.12,83.4967,0.346
112000,68,3.31708,-4280.79,77.8183,0.326
113000,61,-1.7482,-4270.37,68.3234,0.33
114000,41,-9.47564,-4321.18,33.8198,0.330429
115000,43,-14.7082,-4351.52,38.1937,0.32725
116000,57,-9.83587,-4260.52,40.2657,0.325
117000,51,-10.8839,-4273.01,46.0168,0.306
118000,47,-17.0106,-4290.79,41.9346,0.324
119000,42,-21.19,-4275.48,34.8003,0.308
120000,46,-43.2761,-4264.7,38.3513,0.316087
121000,34,-20.1368,-4348.35,36.7578,0.324167
122000,47,-13.0143,-4281.37,49.2308,0.3
123000,44,-20.0024,-4312.75,45.5398,0.318667
124000,42,-21.6535,-4313.4,38.4481,0.307
125000,57,-37.491,-4296.79,57.3006,0.3178
126000,44,-28.0247,-4296.18,43.8271,0.336
127000,60,-32.9783,-4313.28,55.3513,0.32
128000,57,-38.2583,-4319.86,47.7648,0.32
129000,56,-27.5599,-4289.8,45.1953,0.337
130000,53,-35.625,-4276,45.9205,0.322
131000,54,-33.7959,-4286.04,51.6287,0.312
132000,61,-27.1031,-4271.4,43.5805,0.3
133000,57,-38.8478,-4266.8,70.6706,0.301
134000,64,-35.69,-4249.4,65.9146,0.292
135000,61,-35.2464,-4254.09,60.7792,0.31
136000,67,-28.9081,-4253.21,72.7988,0.322
137000,74,-26.4198,-4254.5,62.3444,0.319
138000,75,-26.2473,-4236.73,67.0061,0.335
139000,83,-27.9879,-4248.13,78.0303,0.307
140000,83,-27.6712,-4253.26,76.2671,0.326
141000,55,-5.66379,-4310.37,47.2803,0.323842
142000,52,-14.6577,-4295.8,41.06,0.312
143000,53,-8.8731,-4314.07,61.4919,0.334
144000,87,-16.2876,-4237.49,76.5617,0.31975
145000,84,-20.7615,-4251.32,82.6405,0.323
146000,83,-16.8996,-4256.55,77.2883,0.319
147000,81,-27.5229,-4257.38,78.9798,0.274
148000,76,-30.4155,-4271.8,82.4082,0.334
149000,81,-31.571,-4255.54,62.8393,0.302
150000,51,-17.7533,-4330.4,38.404,0.328276
151000,47,-18.6079,-4323.56,41.3156,0.344
152000,66,-3.77427,-4317.38,65.9035,0.322
153000,65,-8.56524,-4315,66.2523,0.332
154000,60,-5.94277,-4308.79,50.1469,0.307
155000,41,-33.1989,-4365.79,46.8929,0.325138
156000,42,-32.3061,-4361.69,47.7022,0.339
157000,43,-32.8191,-4382.9,46.8872,0.303
158000,46,-39.9287,-4344.08,32.4218,0.323
159000,43,-40.1941,-4353.39,43.3697,0.339
160000,64,-25.4092,-4308.77,69.0881,0.3275
161000,68,-32.4804,-4288.88,58.3913,0.325167
162000,66,-34.2038,-4291.41,54.726,0.336
163000,60,-40.8841,-4290.11,66.6143,0.317
164000,62,-31.4867,-4289.56,54.2029,0.333
165000,62,-30.833,-4288.41,60.8787,0.328
166000,63,-22.6111,-4284.14,73.5688,0.315
167000,44,-20.9623,-4378.01,44.9376,0.329562
168000,49,-14.5743,-4354.08,35.824,0.341
169000,71,-20.1311,-4268.2,67.2377,0.323
170000,66,-21.9239,-4271.76,52.1297,0.314
171000,66,-26.9268,-4257.68,62.1532,0.339
172000,55,-25.513,-4265.25,36.9816,0.317
173000,53,-22.1106,-4251.95,49.068,0.331
174000,60,-5.01357,-4356.51,66.2726,0.324133
175000,65,4.19846,-4343.08,63.9899,0.329
176000,66,-14.9871,-4243.46,65.8332,0.309333
177000,71,-14.4497,-4233.96,71.9957,0.319
178000,69,-18.4176,-4246.37,62.2972,0.285
179000,70,-20.9154,-4246.18,68.7742,0.318
180000,51,-11.3708,-4280.2,39.4695,0.32495
181000,55,-20.4295,-4283.23,42.0933,0.31
182000,54,-29.8657,-4296.94,44.5629,0.337
183000,55,-30.414,-4312.47,47.7264,0.3
184000,54,-27.8761,-4317.97,43.8728,0.319
185000,51,-25.096,-4301.75,44.7617,0.289
186000,42,-35.2171,-4338.82,34.1217,0.327778
187000,56,-26.9274,-4298.41,55.9195,0.353
188000,58,-27.0713,-4282.69,53.7389,0.31
189000,61,-25.2868,-4306.34,47.6415,0.327
190000,61,-25.6482,-4302.97,52.8533,0.33
191000,49,-27.9631,-4311,47.6174,0.38
192000,50,-18.0353,-4312.11,36.8891,0.335
193000,71,-6.53169,-4245.59,74.8901,0.319286
194000,67,-5.2542,-4232.44,70.59,0.325
195000,70,4.12119,-4213.78,57.3022,0.306
196000,69,0.503272,-4226.4,51.4388,0.336
197000,69,-4.8647,-4247.75,57.4521,0.325
198000,76,-1.45646,-4238.81,85.7727,0.324
199000,81,2.38791,-4217.65,87.9105,0.324
200000,80,2.03792,-4215.75,60.505,0.3
201000,79,-6.249,-4226.06,73.3648,0.308
202000,79,-3.91032,-4244.55,68.8765,0.293
203000,78,1.48793,-4236.07,61.155,0.323
204000,74,-5.47677,-4223.21,59.9625,0.293
205000,58,-9.46259,-4282.65,40.29,0.327233
206000,55,-14.0257,-4306.55,53.2118,0.331
207000,55,-10.6108,-4298.56,43.2368,0.318
208000,56,-13.5983,-4302.01,54.7341,0.348
209000,92,4.00766,-4210.22,76.7426,0.3286
210000,88,0.69294,-4211.99,76.7426,0.311
211000,80,-3.25449,-4204.32,87.1539,0.315
212000,78,-0.431248,-4194.35,69.1853,0.281
213000,74,-5.18852,-4207.4,62.3283,0.315
214000,83,0.527491,-4220.33,74.0851,0.316
215000,83,0.288035,-4206.19,74.0851,0.322
216000,72,-4.75424,-4205.81,79.1109,0.334
217000,72,-18.9891,-4212.8,62.6119,0.297
218000,86,-11.0184,-4219.53,83.4458,0.341
219000,91,-1.07547,-4217.06,80.7954,0.306
220000,94,-5.50709,-4195.83,82.4135,0.316
221000,96,1.34508,-4196.88,75.3199,0.317
222000,89,-4.22494,-4208.94,85.002,0.338
223000,95,-7.48206,-4179.97,99.7621,0.288
224000,100,-10.3339,-4183.65,99.7621,0.317
225000,97,-5.40982,-4197.56,97.5395,0.319
226000,93,-7.27101,-4190.33,96.2946,0.32
227000,94,-4.56795,-4196.42,80.0848,0.307
228000,90,-2.45019,-4206.21,78.3149,0.322
229000,91,7.1263,-4206.27,78.3149,0.309
230000,93,-3.9588,-4216.09,92.9241,0.325
231000,96,-9.15214,-4227.75,98.3009,0.282
232000,90,-7.87654,-4202.12,103.931,0.288
233000,95,-1.81432,-4197.3,105.528,0.322
