"","node","time","lam1","lam2","mu1","mu2","index"
"1",663,0,40.3569,0.0872639,0,0,1
"2",677,19.6833666666667,1.19497366666667,0.04631135,0,0,2
"3",694,20.2519,2.9981,0.0762621,0,0,3
"4",12,20.77526,0.829808666666667,-0.0441557,0,0,4
"5",81,20.9131,0.2331395,-0.0225744,0,0,5
"6",681,21.2218,1.91434,-0.0338002,0,0,6
"7",907,24.0697,1.52918,-0.0295884,0,0,7
"8",917,25.8453,0.532401,-0.0537323,0,0,8
"9",29,25.9692,0.180347,0.095308,0,0,9
"10",685,26.0407,1.33854,0.0347377,0,0,10
"11",935,26.0709,1.76686,0.0868182,0,0,11
"12",260,26.8886,1.69807,0.0344673,0,0,12
"13",913,27.3512,1.04748,-0.034841,0,0,13
"14",337,27.5337,1.81315,0.0419409,0,0,14
"15",939,27.5537,0.396931,0.01416795,0,0,15
"16",82,27.8677,0.581099,0.0444119,0,0,16
"17",838,28.1687,1.93446,-0.0812394,0,0,17
"18",712,28.3139,0.404031,-0.00993647,0,0,18
"19",30,28.733,0.469991,0.00269267,0,0,19
"20",885,29.017,1.47325,-0.0382322,0,0,20
"21",423,29.0551,4.01984,-0.027914,0,0,21
"22",16,29.1169,0.578349,-0.040794,0,0,22
"23",38,29.3974,0.313471,-0.0499989,0,0,23
"24",345,29.4378,1.96198,0.0188928,0,0,24
"25",363,29.8366,2.55024,0.019449,0,0,25
"26",1147,29.9585,0.128119,0.0382512,0,0,26
"27",715,30.2883,5.72406e-05,0.0112777,0,0,27
"28",346,30.36705,2.2551,-0.0498848,0,0,28
"29",1132,30.5659,2.29445,-0.0558649,0,0,29
"30",1128,30.587,0.961528,0.0449454,0,0,30
"31",175,30.8077,0.134346,0.0759586,0,0,31
"32",268,30.8716,0.430835,-0.108015,0,0,32
"33",1258,30.9222,1.12343,0.0378882,0,0,33
"34",245,30.9619,0.542202,0.0181971,0,0,34
"35",689,30.9657,0.0488884,0.00259356,0,0,35
"36",1240,30.9866,6.2533,0.0755329,0,0,36
"37",385,30.9977,0.806131,-0.010687,0,0,37
"38",1090,31.2217,1.42434,-0.0334629,0,0,38
"39",724,31.2571,0.100597,0.0674077,0,0,39
"40",83,31.3555,0.6718215,0.000359185,0,0,40
"41",355,31.3627,1.9199,-0.0399401,0,0,41
"42",47,31.43045,1.2244145,0.02999632,0,0,42
"43",1025,31.515,0.685852,0.013566,0,0,43
"44",471,31.522,1.22967,0.0218766,0,0,44
"45",27,31.5673,0.305489,-0.000828153,0,0,45
"46",328,31.8932,0.755296,0.128392,0,0,46
"47",872,31.9504,1.41384,0.128057,0,0,47
"48",8,31.9872,0.206214,0.000200861,0,0,48
"49",216,31.99815,0.9823285,0.054594755,0,0,49
"50",31,31.99925,0.481930775,-0.06449375,0,0,50
"51",358,32.1054,0.652052,0.0309924,0,0,51
"52",46,32.19145,0.466881,0.03114649,0,0,52
"53",1276,32.1957,0.90856,-0.05872,0,0,53
"54",399,32.1969,0.0491581,-0.0500135,0,0,54
"55",720,32.32095,1.434399,-0.01414535,0,0,55
"56",486,32.3296,0.546833,-0.0604056,0,0,56
"57",855,32.3429,2.1283,-0.0471204,0,0,57
"58",874,32.378,1.05074,0.0245718,0,0,58
"59",15,32.384,2.2128,0.0733258,0,0,59
"60",259,32.4592,1.07982,0.00694824,0,0,60
"61",449,32.6656,1.64618,0.0141824,0,0,61
"62",1174,32.679,2.07645,-0.00709676,0,0,62
"63",1162,32.6959,3.0274,-0.0343237,0,0,63
"64",1209,32.7631,0.744697,-0.121194,0,0,64
"65",1267,32.8001,1.2222,0.02374,0,0,65
"66",1155,32.8242,0.00107403,0.0739959,0,0,66
"67",360,32.8479,0.372258,-0.0229368,0,0,67
"68",728,32.8617,0.60528,-0.0579802,0,0,68
"69",906,32.9425,1.28065,0.010824,0,0,69
"70",717,32.9612,0.256878,-0.0544666,0,0,70
"71",364,33.0475,0.0455602,0.0806227,0,0,71
"72",1230,33.1233,0.0734119,-0.050239,0,0,72
"73",115,33.1322,0.371019,0.0845514,0,0,73
"74",758,33.2089,0.00974026,-0.00237009,0,0,74
"75",165,33.3031,0.477297,-0.0483385,0,0,75
"76",590,33.3606,0.747302,0.0217202,0,0,76
"77",248,33.4073,2.1728,-0.0660239,0,0,77
"78",1219,33.4534,1.6395,0.0595487,0,0,78
"79",292,33.4988,0.484109,0.016149,0,0,79
"80",243,33.5075,0.0635019,0.0453286,0,0,80
"81",621,33.5706,1.1205,-0.00296443,0,0,81
"82",119,33.5719,0.418768,0.00716296,0,0,82
"83",231,33.5828,0.76161,-0.0575779,0,0,83
"84",40,33.5966,0.176433,-0.0273261,0,0,84
"85",1213,33.6278,0.328848,0.026252,0,0,85
"86",457,33.6555,0.563164,0.00247518,0,0,86
"87",971,33.6568,1.58915,-0.0155461,0,0,87
"88",570,33.662,1.72142,-0.0318188,0,0,88
"89",722,33.7332,0.906834,0.0399457,0,0,89
"90",13,33.7409,0.709325,-0.003902,0,0,90
"91",1084,33.7484,1.2436,0.0576468,0,0,91
"92",1274,33.7581,0.121181,-0.0163934,0,0,92
"93",143,33.8811,0.864813,-0.00134097,0,0,93
"94",235,33.9063,0.178859,-0.0139331,0,0,94
"95",201,33.9396,0.6957,0.0102499,0,0,95
"96",263,33.9667,0.240131,-0.0523243,0,0,96
"97",548,33.9988,0.0793148,0.036227,0,0,97
"98",356,34.0253,0.365445,0.053768,0,0,98
"99",325,34.0846,0.615539,-0.152127,0,0,99
"100",616,34.1332,0.371172,0.00457127,0,0,100
"101",576,34.148,0.977339,-0.0691852,0,0,101
"102",163,34.1622,0.743577,-0.0443971,0,0,102
