"","node","time","lam1","lam2","mu1","mu2","index"
"1",716,0,40.0169,0.0737991,0,0,1
"2",730,14.014668,1.03604018,-0.01171551,0,0,2
"3",12,14.162456,0.805149,0.030683,0,0,3
"4",734,22.16385,1.27466,-0.00689935,0,0,4
"5",737,22.7778,2.24616,-0.0158902,0,0,5
"6",762,23.5337,4.06634,-0.0298436,0,0,6
"7",17,24.6047,0.61483,-0.0338114,0,0,7
"8",1024,24.68845,1.243376,-0.05035645,0,0,8
"9",98,24.89015,0.2949255,0.0080197,0,0,9
"10",771,26.353,1.4676,0.0565574,0,0,10
"11",52,26.5543,0.8790695,-0.0030136,0,0,11
"12",22,26.899,0.339517,0.152386,0,0,12
"13",1042,27.0318,0.0459438,-0.0646716,0,0,13
"14",32,27.3361666666667,0.606479,0.0325684566666667,0,0,14
"15",925,27.42,1.37772,0.00877936,0,0,15
"16",1021,27.48925,1.146601,0.0550529,0,0,16
"17",766,27.9066,3.00338,-0.0889387,0,0,17
"18",316,28.0167,0.0938466,0.0847509,0,0,18
"19",395,28.4149,0.385429,-0.024428825,0,0,19
"20",1043,28.4395,1.14665,0.0719297,0,0,20
"21",1048,28.76265,1.524956,-0.05716865,0,0,21
"22",220,29.00995,0.2028985,-0.0125848,0,0,22
"23",980,29.3661,3.446265,-0.01098075,0,0,23
"24",315,29.3701,0.113572,-0.0293914,0,0,24
"25",1239,29.3971,1.41376,0.00569478,0,0,25
"26",16,29.4280666666667,0.939958666666667,-0.0107594,0,0,26
"27",1079,29.8554,4.35772,-0.0210902,0,0,27
"28",783,29.8945,1.01213,0.00760388,0,0,28
"29",15,29.9503,0.250769,-0.0387812,0,0,29
"30",1311,30.1514,0.726965,0.0686746,0,0,30
"31",521,30.232,0.269254,0.00731523,0,0,31
"32",56,30.2463,0.410664,-0.0373653,0,0,32
"33",982,30.3146,3.3246,0.109373,0,0,33
"34",1160,30.3306,8.44324,-0.0263401,0,0,34
"35",384,30.4618,5.6385,0.0586652,0,0,35
"36",1367,30.5913,1.36369,-0.0252491,0,0,36
"37",404,30.7781,0.732756,0.0229776,0,0,37
