generation,rank_1,rank_2,swapAccepted
1000,1,4,0
2000,2,3,1
3000,1,2,0
4000,1,3,0
5000,3,4,1
6000,1,2,0
7000,2,3,1
8000,1,2,1
9000,2,4,1
10000,1,2,1
11000,2,3,1
12000,1,4,0
13000,1,4,0
14000,1,3,0
15000,1,4,0
16000,1,4,0
17000,3,4,1
18000,2,3,1
19000,2,3,1
20000,2,4,1
21000,2,3,1
22000,2,4,1
23000,1,3,0
24000,3,4,1
25000,1,2,0
26000,1,2,0
27000,1,3,0
28000,1,3,0
29000,3,4,1
30000,3,4,0
31000,2,3,1
32000,2,4,0
33000,1,2,1
34000,2,3,1
35000,2,3,1
36000,1,2,1
37000,2,3,0
38000,3,4,1
39000,1,4,0
40000,2,4,1
41000,1,4,0
42000,1,2,1
43000,2,4,1
44000,2,3,1
45000,1,2,1
46000,2,3,1
47000,1,4,1
48000,2,3,1
49000,1,2,0
50000,1,3,0
51000,1,4,0
52000,1,4,0
53000,1,3,0
54000,3,4,1
55000,1,3,0
56000,1,4,1
57000,1,4,1
58000,1,4,0
59000,1,3,0
60000,1,3,1
61000,2,3,1
62000,1,2,1
63000,1,2,1
64000,1,3,1
65000,3,4,1
66000,1,2,1
67000,1,3,1
68000,1,4,1
69000,3,4,1
70000,3,4,1
71000,3,4,0
72000,1,2,1
73000,3,4,1
74000,1,3,1
75000,2,3,1
76000,2,3,0
77000,2,3,0
78000,2,3,0
79000,1,4,1
80000,3,4,1
81000,1,2,1
82000,1,3,0
83000,1,2,1
84000,1,2,0
85000,1,2,1
86000,1,2,1
87000,1,3,0
88000,2,3,1
89000,3,4,1
90000,1,2,1
91000,2,4,1
92000,1,4,1
93000,1,2,1
94000,2,3,1
95000,1,2,1
96000,2,4,1
97000,3,4,1
98000,1,4,1
99000,1,2,1
100000,1,2,1
101000,2,3,0
102000,3,4,1
103000,1,3,0
104000,2,3,0
105000,1,2,0
106000,1,4,0
107000,2,3,1
108000,2,4,1
109000,1,4,0
110000,2,4,1
111000,1,2,1
112000,2,3,1
113000,2,3,1
114000,1,4,1
115000,2,4,0
116000,1,3,1
117000,1,2,1
118000,3,4,1
119000,1,2,1
120000,1,3,0
121000,3,4,1
122000,1,3,1
123000,2,3,0
124000,3,4,1
125000,1,2,1
126000,2,3,1
127000,2,3,1
128000,1,2,0
129000,3,4,1
130000,2,3,1
131000,2,3,1
132000,1,4,0
133000,1,2,1
134000,2,4,0
135000,1,4,1
136000,2,4,0
137000,2,3,0
138000,2,3,0
139000,2,3,0
140000,1,3,1
141000,1,4,1
142000,1,2,1
143000,2,4,0
144000,1,3,0
145000,1,3,0
146000,1,4,0
147000,1,4,0
148000,2,4,0
149000,1,2,1
150000,2,4,0
151000,1,3,1
152000,1,2,1
153000,2,3,1
154000,1,4,0
155000,2,4,0
156000,3,4,0
157000,2,3,1
158000,2,4,0
159000,1,4,0
160000,1,4,0
161000,2,3,1
162000,1,3,0
163000,1,3,0
164000,1,2,1
165000,2,3,0
166000,2,3,0
167000,1,4,0
168000,1,4,0
169000,2,3,0
170000,3,4,0
171000,1,3,1
172000,3,4,1
173000,3,4,1
174000,1,2,1
175000,1,2,0
176000,2,4,0
177000,1,2,0
178000,2,3,1
179000,1,4,0
180000,2,4,0
181000,1,4,0
182000,2,3,1
183000,2,3,1
184000,2,4,0
185000,1,3,0
186000,1,3,0
187000,3,4,0
188000,1,2,0
189000,2,4,0
190000,3,4,0
191000,3,4,0
192000,3,4,1
193000,2,3,0
194000,2,3,0
195000,1,4,0
196000,1,4,0
197000,1,4,0
198000,1,2,1
199000,2,3,0
200000,3,4,1
201000,2,4,0
202000,2,3,0
203000,1,4,0
204000,1,4,0
205000,2,4,0
206000,1,2,1
207000,3,4,0
208000,2,3,1
209000,1,2,0
210000,3,4,1
211000,2,4,1
212000,3,4,1
213000,1,3,0
214000,1,3,0
215000,1,4,0
216000,2,3,1
217000,3,4,1
218000,2,4,0
219000,3,4,1
220000,1,2,0
221000,1,4,0
222000,2,4,1
223000,1,4,0
224000,2,3,1
225000,2,3,0
226000,3,4,1
227000,2,4,1
228000,1,2,0
229000,1,4,0
230000,3,4,1
231000,2,4,1
232000,1,2,0
233000,1,4,0
234000,2,3,1
235000,1,3,0
236000,1,2,1
237000,3,4,0
238000,1,2,1
239000,1,2,0
240000,2,3,0
241000,1,3,0
242000,2,3,1
243000,1,3,0
244000,1,4,0
245000,1,2,0
246000,2,3,1
247000,1,2,0
248000,2,4,1
249000,2,3,1
250000,1,4,0
251000,2,4,1
252000,1,4,0
253000,3,4,1
254000,1,4,0
255000,1,2,0
256000,3,4,1
257000,1,3,0
258000,3,4,1
259000,2,4,0
260000,1,2,0
261000,1,4,0
262000,3,4,1
263000,3,4,1
264000,1,2,1
265000,1,3,0
266000,2,3,0
267000,1,2,1
268000,2,4,1
269000,2,4,1
270000,2,4,1
271000,1,2,0
272000,2,3,1
273000,1,4,0
274000,1,2,0
275000,2,4,1
276000,3,4,1
277000,1,4,0
278000,1,3,0
279000,1,3,0
280000,3,4,1
281000,2,4,0
282000,2,3,0
283000,1,4,1
284000,1,3,1
285000,1,4,1
286000,2,4,0
287000,1,4,0
288000,2,4,0
289000,2,3,1
290000,2,3,1
291000,1,2,1
292000,1,4,0
293000,2,3,1
294000,2,4,0
295000,1,2,1
296000,1,4,0
297000,1,2,1
298000,1,2,1
299000,2,4,0
300000,2,4,0
301000,3,4,1
302000,1,3,0
303000,2,3,0
304000,2,4,1
305000,2,4,0
306000,1,2,1
307000,1,4,0
308000,2,3,0
309000,2,4,0
310000,1,3,1
311000,1,3,1
312000,3,4,1
313000,1,3,0
314000,1,4,0
315000,2,4,0
316000,1,4,0
317000,1,2,0
318000,1,4,0
319000,1,2,1
320000,1,2,1
321000,2,3,0
322000,3,4,1
323000,2,4,0
324000,2,3,0
325000,2,3,0
326000,1,3,0
327000,2,4,1
328000,1,2,0
329000,2,4,1
330000,3,4,1
331000,1,2,1
332000,1,4,0
333000,2,3,1
334000,3,4,0
335000,1,3,1
336000,2,3,1
337000,2,4,0
338000,2,4,0
339000,2,4,0
340000,1,3,0
341000,3,4,0
342000,2,4,0
343000,1,3,1
344000,1,4,0
345000,1,2,1
346000,1,4,0
347000,2,4,0
348000,3,4,0
349000,2,3,1
350000,2,4,0
351000,1,4,0
352000,3,4,1
353000,1,4,0
354000,1,3,0
355000,2,4,0
356000,3,4,1
357000,3,4,0
358000,2,3,0
359000,2,3,0
360000,3,4,0
361000,3,4,0
362000,2,4,0
363000,1,4,1
364000,3,4,1
365000,1,2,1
366000,1,3,0
367000,2,3,1
368000,3,4,1
369000,2,4,0
370000,1,4,0
371000,1,3,0
372000,2,4,1
373000,2,3,1
374000,2,3,0
375000,1,3,0
376000,2,3,1
377000,1,3,0
378000,1,2,0
379000,3,4,1
380000,1,2,0
381000,1,2,0
382000,2,4,1
383000,2,3,1
384000,3,4,0
385000,2,4,0
386000,1,3,1
387000,1,3,1
388000,2,3,0
389000,1,3,0
390000,1,2,1
391000,1,3,1
392000,1,2,1
393000,1,4,0
394000,3,4,0
395000,1,2,1
396000,1,3,1
397000,1,4,0
398000,1,3,0
399000,1,4,0
400000,1,4,0
401000,2,4,0
402000,2,3,1
403000,3,4,0
404000,2,4,0
405000,2,3,1
406000,1,4,0
407000,1,4,0
408000,1,4,0
409000,1,3,0
410000,1,2,1
411000,2,3,1
412000,2,4,0
413000,1,4,0
414000,1,3,0
415000,2,3,1
416000,1,2,1
417000,2,4,0
418000,1,2,1
419000,3,4,0
420000,1,2,0
421000,1,3,0
422000,1,2,1
423000,2,4,0
424000,1,2,1
425000,1,4,0
426000,2,3,1
427000,2,3,1
428000,2,4,0
429000,1,2,1
430000,1,3,1
431000,1,3,1
432000,2,4,0
433000,1,4,0
434000,1,4,0
435000,2,3,0
436000,2,4,0
437000,1,4,0
438000,2,4,0
439000,2,3,0
440000,2,4,0
441000,1,3,1
442000,1,4,0
443000,1,2,1
444000,1,2,1
445000,3,4,1
446000,2,3,0
447000,2,4,0
448000,1,3,0
449000,1,2,1
450000,1,3,0
451000,2,3,1
452000,3,4,1
453000,1,4,0
454000,1,4,0
455000,2,3,1
456000,1,3,0
457000,1,3,0
458000,1,4,0
459000,2,4,0
460000,1,2,0
461000,1,4,0
462000,1,4,0
463000,1,3,0
464000,1,2,1
465000,2,4,0
466000,2,3,0
467000,1,3,0
468000,3,4,1
469000,1,4,0
470000,3,4,1
471000,1,3,0
472000,1,2,1
473000,1,4,0
474000,1,3,0
475000,2,3,0
476000,2,3,0
477000,2,3,0
478000,3,4,1
479000,1,4,0
480000,1,4,0
481000,2,4,0
482000,1,2,1
483000,1,4,0
484000,1,3,0
485000,1,2,1
486000,2,4,0
487000,1,2,0
488000,1,4,0
489000,2,3,1
490000,1,2,0
491000,1,3,0
492000,1,2,1
493000,2,4,0
494000,1,4,0
495000,1,3,1
496000,3,4,1
497000,2,3,0
498000,1,3,0
499000,1,4,0
500000,2,4,0
501000,2,3,0
502000,1,2,1
503000,3,4,1
504000,3,4,0
505000,1,4,0
506000,1,2,1
507000,1,2,1
508000,1,3,0
509000,1,2,0
510000,2,3,0
511000,2,3,0
512000,3,4,0
513000,2,3,1
514000,1,3,1
515000,3,4,0
516000,3,4,0
517000,3,4,0
518000,2,4,0
519000,1,4,0
520000,2,3,1
521000,1,2,1
522000,2,3,1
523000,2,4,0
524000,1,4,0
525000,1,2,0
526000,1,4,0
527000,3,4,0
528000,3,4,0
529000,1,2,0
530000,1,4,0
531000,2,4,0
532000,1,3,0
533000,3,4,0
534000,1,4,0
535000,2,3,1
536000,1,3,0
537000,3,4,0
538000,2,3,1
539000,1,3,0
540000,2,4,0
541000,2,3,1
542000,3,4,0
543000,1,4,0
544000,1,3,1
545000,1,3,1
546000,2,4,0
547000,2,3,1
548000,1,3,0
549000,2,4,0
550000,2,3,1
551000,1,2,1
552000,2,4,0
553000,1,3,0
554000,2,4,0
555000,1,2,1
556000,1,2,0
557000,1,3,0
558000,2,4,0
559000,2,4,0
560000,2,4,0
561000,3,4,1
562000,3,4,1
563000,1,4,0
564000,1,3,1
565000,1,4,0
566000,2,3,1
567000,1,3,1
568000,2,4,0
569000,2,4,0
570000,1,2,1
571000,1,2,0
572000,2,3,0
573000,1,3,0
574000,1,3,0
575000,1,4,0
576000,3,4,0
577000,1,2,1
578000,1,3,1
579000,2,4,0
580000,1,4,0
581000,1,2,1
582000,1,3,0
583000,3,4,1
584000,1,2,0
585000,1,4,0
586000,1,2,1
587000,1,4,1
588000,1,2,1
589000,3,4,1
590000,2,4,0
591000,1,4,0
592000,1,2,0
593000,2,3,1
594000,1,4,0
595000,1,3,0
596000,1,3,1
597000,1,2,1
598000,1,4,0
599000,2,4,0
600000,2,3,1
601000,1,4,0
602000,2,4,0
603000,1,4,0
604000,1,3,1
605000,2,3,1
606000,1,3,1
607000,1,3,0
608000,1,4,0
609000,2,3,1
610000,2,4,0
611000,3,4,0
612000,2,4,0
613000,3,4,1
614000,3,4,1
615000,3,4,1
616000,1,2,0
617000,2,4,0
618000,1,4,0
619000,3,4,1
620000,3,4,1
621000,3,4,1
622000,1,3,0
623000,2,4,1
624000,2,3,1
625000,1,3,0
626000,2,4,1
627000,3,4,1
628000,2,3,1
629000,2,4,0
630000,2,4,0
631000,1,3,1
632000,2,4,1
633000,1,4,0
634000,1,2,0
635000,1,3,1
636000,1,3,0
637000,2,3,1
638000,2,4,0
639000,2,3,0
640000,3,4,1
641000,2,3,1
642000,3,4,1
643000,3,4,1
644000,1,4,0
645000,1,3,1
646000,3,4,0
647000,2,3,1
648000,2,4,0
649000,2,3,0
650000,2,3,1
651000,2,4,0
652000,1,2,1
653000,2,4,0
654000,2,4,1
655000,3,4,1
656000,2,3,1
657000,2,4,1
658000,1,2,1
659000,2,3,0
660000,2,3,1
661000,3,4,1
662000,3,4,0
663000,1,2,0
664000,1,3,0
665000,2,3,1
666000,1,4,0
667000,2,4,1
668000,1,3,0
669000,1,3,1
670000,3,4,1
671000,1,3,1
672000,1,4,1
673000,1,3,0
674000,3,4,1
675000,2,4,0
676000,3,4,1
677000,1,2,1
678000,1,3,1
679000,1,2,1
680000,1,3,0
681000,1,2,0
682000,2,3,1
683000,2,4,1
684000,2,3,0
685000,2,4,1
686000,1,3,0
687000,2,3,1
688000,1,3,0
689000,1,4,0
690000,2,4,1
691000,2,4,1
692000,1,4,0
693000,1,2,0
694000,1,4,0
695000,2,4,1
696000,2,4,0
697000,2,4,0
698000,2,4,0
699000,2,4,0
700000,1,3,1
701000,3,4,0
702000,1,2,1
703000,2,4,0
704000,1,2,1
705000,1,4,0
706000,1,4,0
707000,2,3,1
708000,1,4,0
709000,2,4,0
710000,2,3,1
711000,2,3,1
712000,2,3,1
713000,3,4,0
714000,1,3,1
715000,1,2,1
716000,2,4,0
717000,1,2,1
718000,2,3,0
719000,2,3,1
720000,2,3,1
721000,2,3,0
722000,1,3,0
723000,2,4,0
724000,1,4,0
725000,1,4,0
726000,3,4,0
727000,3,4,0
728000,2,4,0
729000,3,4,0
730000,2,3,1
731000,2,4,0
732000,2,4,0
733000,1,3,0
734000,2,4,0
735000,2,4,1
736000,2,4,1
737000,1,4,0
738000,1,4,0
739000,1,3,1
740000,2,3,1
741000,2,4,0
742000,3,4,1
743000,1,4,0
744000,1,2,1
745000,3,4,1
746000,3,4,1
747000,1,2,1
748000,3,4,1
749000,1,2,1
750000,3,4,1
751000,1,2,0
752000,1,3,0
753000,1,2,1
754000,1,2,1
755000,1,3,0
756000,1,3,0
757000,1,3,0
758000,2,3,1
759000,2,4,1
760000,1,3,0
761000,1,2,1
762000,2,4,0
763000,1,4,1
764000,2,4,1
765000,2,3,1
766000,2,3,0
767000,2,4,1
768000,1,4,1
769000,2,3,1
770000,1,4,0
771000,1,3,1
772000,3,4,1
